Key_category,Key_subcategory,Key,Value,Description,Element
building,accommodation,building,dormitory,"A shared building intended for college/university students (not a share room for multiple occupants as implied by the term in British English). Alternatively, use building=residential plus residential=university and loose the information that it is for students.",None
building,accommodation,building,farm,"A residential building on a farm (farmhouse). For other buildings see below building=farm_auxiliary, building=barn, … If in your country farmhouse looks same as general residential house then you can tag as building=house as well. See also landuse=farmyard for the surrounding area",None
building,accommodation,building,ger,A permanent or seasonal round yurt or ger.,None
building,accommodation,building,hotel,A building designed with separate rooms available for overnight accommodation. Normally used in conjunction with tourism=hotel for the hotel grounds including recreation areas and parking.,None
building,accommodation,building,house,"A dwelling unit inhabited by a single household (a family or small group sharing facilities such as a kitchen). Houses forming half of a semi-detached pair, or one of a row of terraced houses, should share at least two nodes with joined neighbours, thereby defining the party wall between the properties.",None
building,accommodation,building,houseboat,A boat used primarily as a home,None
building,accommodation,building,residential,"A general tag for a building used primarily for residential purposes. Where additional detail is available consider using 'apartments', 'terrace', 'house', 'detached' or 'semidetached_house'.",None
building,accommodation,building,semidetached_house,"A residential house that shares a common wall with another on one side. Typically called a ""duplex"" in American English.",None
building,accommodation,building,static_caravan,A mobile home (semi)permanently left on a single site,None
building,accommodation,building,stilt_house,A building raised on piles over the surface of the soil or a body of water,None
building,accommodation,building,terrace,"A single way used to define the outline of a linear row of residential dwellings, each of which normally has its own entrance, which form a terrace (""row-house"" or ""townhouse"" in North American English). Consider defining each dwelling separately using 'house'.",None
building,accommodation,building,tree_house,"An accommodation, often designed as a small hut, sometimes also as a room or small apartment. Built on tree posts or on a natural tree. A tree house has no contact with the ground. Access via ladders, stairs or bridgeways.",None
building,accommodation,building,trullo,A stone hut with a conical roof.,None
building,commercial,building,commercial,"A building for non-specific commercial activities, not necessarily an office building. Consider tagging the surrounding area using landuse=commercial if there is such use. Use 'retail' if the building consists primarily of shops.",None
building,commercial,building,industrial,A building for industrial purposes. Use warehouse if the purpose is known to be primarily for storage/distribution. Consider using landuse=industrial for the surrounding area and appropriate tags like man_made=works to describe the industrial activity.,None
building,commercial,building,kiosk,A small one-room retail building.,None
building,commercial,building,office,An office building. Use office=* where applicable for the business(es) that use the building. Consider tagging the surrounding area using landuse=commercial if it applies. Prefer landuse=retail if the building consists primarily of shops.,None
building,commercial,building,retail,"A building primarily used for selling goods that are sold to the public; use shop=* to identify the sort of goods sold or an appropriate amenity=* (pub, cafe, restaurant, etc.). Consider use landuse=retail for the surrounding area.",None
building,commercial,building,supermarket,A building constructed to house a self-service large-area store.,None
building,commercial,building,warehouse,A building primarily intended for the storage or goods or as part of a distribution system.,None
building,religious,building,religious,Unspecific building related to religion. Prefer more specific values if possible.,None
building,religious,building,cathedral,"A building that was built as a cathedral. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the cathedral grounds where it is in current use.",None
building,religious,building,chapel,"A building that was built as a chapel. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the chapel grounds where it is in current use.",None
building,religious,building,church,"A building that was built as a church. Used in conjunction with amenity=place_of_worship, religion=* , denomination=* and landuse=religious for the church grounds where it is in current use.",None
